Ingestion Order,Shelf Mark,Volume,PID,Create Date,File Name (.PDF),Path,File Size (MB),LSID
140,Playbills 134 ,Playbills 134 (1),450224,23 de sep de 10,015299315_1822_Playbills 134 (1),/2010/09/23/file_2/450224,"273,97",4059cc7f
136,Playbills 134 ,Playbills 134 (2),448868,23 de sep de 10,015299315_470_Playbills 134 (2),/2010/09/23/file_1/448868,"381,56",4059cdf1
138,Playbills 135 ,Playbills 135 (1),449641,23 de sep de 10,015299318_1241_Playbills 135 (1),/2010/09/23/file_2/449641,"312,95",4059d5f4
137,Playbills 135 ,Playbills 135 (2),449023,23 de sep de 10,015299318_624_Playbills 135 (2),/2010/09/23/file_1/449023,"86,93",4059d37c
142,Playbills 136 ,Playbills 136 (1),451089,23 de sep de 10,015299324_2685_Playbills 136 (1),/2010/09/23/file_3/451089,"326,29",4059d1cd
320,Playbills 136 ,Playbills 136 (2),515537,20 de oct de 10,015299324_1640_Playbills 136 (2),/2010/10/20/file_2/515537,"409,73",4332c833
141,Playbills 137 ,Playbills 137 (1),450406,23 de sep de 10,015299329_2003_Playbills 137 (1),/2010/09/23/file_3/450406,"86,55",4059cf6f
143,Playbills 137 ,Playbills 137 (2),451296,23 de sep de 10,015299329_2891_Playbills 137 (2),/2010/09/23/file_3/451296,"339,97",4059d08a
144,Playbills 139 ,Playbills 139 (1),451761,23 de sep de 10,015299338_3354_Playbills 139 (1),/2010/09/23/file_4/451761,"325,07",4059ac67
139,Playbills 139 ,Playbills 139 (2),449872,23 de sep de 10,015299338_1471_Playbills 139 (2),/2010/09/23/file_2/449872,"144,95",4059d4e8
17,Playbills 14,Playbills 14,381505,8 de sep de 10,014935183_1633_Playbills 14,/2010/09/08/file_2/381505,"546,1",3f9cb55e
148,Playbills 140 ,Playbills 140 (1),453015,23 de sep de 10,015299340_1044_Playbills 140 (1),/2010/09/23/file_5/453015,"107,53",405a00e7
145,Playbills 140 ,Playbills 140 (2),452096,23 de sep de 10,015299340_128_Playbills 140 (2),/2010/09/23/file_4/452096,"166,45",405a02e6
150,Playbills 141 ,Playbills 141 (1),453559,23 de sep de 10,015305487_1586_Playbills 141 (1),/2010/09/23/file_6/453559,"134,59",405a0428
146,Playbills 141 ,Playbills 141 (2),452470,23 de sep de 10,015305487_501_Playbills 141 (2),/2010/09/23/file_5/452470,"109,19",4059feab
151,Playbills 142 ,Playbills 142 (1),453724,23 de sep de 10,015305491_1750_Playbills 142 (1),/2010/09/23/file_6/453724,"394,15",4059ffd1
149,Playbills 142 ,Playbills 142 (2),453309,23 de sep de 10,015305491_1337_Playbills 142 (2),/2010/09/23/file_5/453309,"388,23",4059fc78
152,Playbills 143 ,Playbills 143 (1),454031,23 de sep de 10,015305498_2056_Playbills 143 (1),/2010/09/23/file_6/454031,"376,09",405a01d7
147,Playbills 143 ,Playbills 143 (2),452766,23 de sep de 10,015305498_796_Playbills 143 (2),/2010/09/23/file_5/452766,"372,69",4059d797
154,Playbills 146 ,Playbills 146 (1),454681,23 de sep de 10,015305510_491_Playbills 146 (1),/2010/09/23/file_7/454681,"483,53",4059fd8a
153,Playbills 146 ,Playbills 146 (2),454315,23 de sep de 10,015305510_126_Playbills 146 (2),/2010/09/23/file_6/454315,"452,18",405a0686
155,Playbills 146 ,Playbills 146 (3),454895,23 de sep de 10,015305510_704_Playbills 146 (3),/2010/09/23/file_7/454895,"513,87",405a0555
157,Playbills 147 ,Playbills 147 (1),455464,24 de sep de 10,015305519_392_Playbills 147 (1),/2010/09/24/file_1/455464,"143,89",405a2998
