title,author,place_production,date,extents,credits_note,subjects,summary,detail,link
GREEN'S PLAYHOUSE BALLROOM.,,[Place of production not identified]  : ,1927,['(0.31 secs) : '],,Leisure and Recreation -- Glasgow -- advertising,A series of advertisements for Green's Playhouse ballroom.,"silent, black and white",http://movingimage.nls.uk/film/1785
(FIRST COMMUNION CEREMONY).,,[Place of production not identified]  : ,1929,['(4.28 mins) : '],"Director, [filmed by Mr. Lawrie].",Children and Infants -- Religion -- amateur -- religion,"Young Roman Catholic children process through streets with banners, dressed for their First Communion. Includes shots of Church and nearby school, St. Roberts, possibly in Glasgow.","silent, black and white",http://movingimage.nls.uk/film/1786
[CLYDE RIVER].,,[Place of production not identified]  : ,1939,['(15.50 mins) : '],"Producer, LMS Advertising and Publicity Department.","Employment, Industry and Industrial Relations -- Water and Waterways -- Glasgow -- Lanarkshire -- promotional","The River Clyde from source to sea highlighting its industry, history, the city of Glasgow and its nearby holiday areas such as Rothesay and Arran.","sound, black and white",http://movingimage.nls.uk/film/1787
(BERTRAMS LTD.).,,[Place of production not identified]  : ,1969,['(11.56 mins) : '],,Construction and Engineering -- Science and Technology -- Edinburgh -- amateur,"Machinery at work in Bertrams Ltd, papermaking machinery engineers of Edinburgh. ","silent, colour",http://movingimage.nls.uk/film/1788
"(Cinematograph Exhibitors Association CONFERENCE, GLENEAGLES).",,[Place of production not identified]  : ,1949,['(2.01 mins) : '],Credits: [Unidentified - possibly a newsreel].,"Arts and Crafts -- Media, Communication and the Creative Industries -- Perth -- newsreel",Coverage of a CEA (Cinematograph Exhibitors Association) Conference at Gleneagles Hotel. ,"sound, black and white",http://movingimage.nls.uk/film/1790
"GAUMONT BRITISH NEWS, WEDDING AT ALL SOULS.",,[Place of production not identified]  : ,1936,['(3.12 mins) : '],"Producer, Gaumont British News.",Ceremonies -- newsreel,"The wedding of Mr J. Poole and Miss I. Sterckx at All Souls, Langholm Place, London, on 3rd of September, 1936. ","mute, black and white",http://movingimage.nls.uk/film/1791
"SOLWAY COUNTIES, the.","RUSSELL, Stanley Livingstone",[Place of production not identified]  : ,1958,['(12.22 mins) : '],"Producer, Thames and Clyde Film Co..","Agriculture -- Art and Artists, general   -- Ferries -- Dumfriesshire -- Wigtownshire -- educational","A survey of three Solway counties - Wigtown, Kirkcudbright and Dumfries.  Farm work, forestry work, factory work and the industries of these counties are highlighted.  ","silent, black and white",http://movingimage.nls.uk/film/1792
(CONSTRUCTION OF DUNFERMLINE'S WAR MEMORIAL).,,[Place of production not identified]  : ,1953,['(12.02 mins) : '],"Director, [filmed by Mr. Blackie].",Construction and Engineering -- Fife -- amateur,General views of a construction site in Dunfermline as stonemasons build and engrave the war memorial.,"silent, colour",http://movingimage.nls.uk/film/1793
NETTING SALMON.,"ELDER, John C",[Place of production not identified]  : ,1936,['(2.41 mins) : '],"Producer, J. C. Elder-Dalrymple Productions.",Education -- Fish and Fishing -- Fishing Boats -- educational,Fishermen netting a fish and making ready for the next catch.,"silent, black and white",http://movingimage.nls.uk/film/1794
TASK FORCE.,,[Place of production not identified]  : ,1962,['(10.52 mins) : '],"Producer, Research Film Unit, Edinburgh.","Art and Artists, general   -- Birds -- Environment -- East Lothian -- educational","A look at the work of the Conservation Corps at Aberlady Bay Local Nature Reserve, East Lothian. ","sound, colour",http://movingimage.nls.uk/film/1795
GB NEWS REVIEW 1948.,,[Place of production not identified]  : ,1948,['(7.33 mins) : '],"Producer, Gaumont British News.","British Empire, the -- Media, Communication and the Creative Industries -- Politics -- Sporting Activities -- newsreel","A record of events of 1948 including the Olympic Games at Wembley, the British Open, cremation of Gandhi and the departure of Mountbatten from India, Truman's victory parade in Washington and the Royal Silver Wedding.","sound, black and white",http://movingimage.nls.uk/film/1796
FENWICK EVENTS OF 1931.,,[Place of production not identified]  : ,1931,['(10.00 mins) : '],"Director, [filmed by Revd. George Allan].","Agriculture -- Employment, Industry and Industrial Relations -- Leisure and Recreation -- Transport -- Ayrshire -- amateur","Scenes of community life centred on activities associated with the local church in Fenwick.  The film includes shots of life on a farm, Brownies and Boy Scout groups, the local bus service, the blacksmith and doctor at work. ","silent, black and white",http://movingimage.nls.uk/film/1798
PRINCESS STREET CHURCH [PORT GLASGOW].,,[Place of production not identified]  : ,1938,['(12.13 mins) : '],"Director, [filmed by Revd. George Allan].",Religion -- Ayrshire -- amateur,A Sunday School picnic to Kilmun.  Junior Bible class excursion to Largs.   A bowling match between elders and managers and the crowning of the Temperance King and Queen.,"silent, black and white",http://movingimage.nls.uk/film/1799
PRINCESS STREET CHURCH EVENTS OF 1937.,,[Place of production not identified]  : ,1937,['(10.00 mins) : '],"Director, [filmed by Revd. George Allan].","Celebrations, Traditions and Customs -- Leisure and Recreation -- Religion -- Ayrshire -- Dunbartonshire -- Glasgow -- amateur","A compilation of Princess Street Church events of 1937, the Women's Guild trip to Inveraray , a Sunday School picnic to Blairmore, and the office bearers' outing to Girvan.","silent, black and white",http://movingimage.nls.uk/film/1800
PRINCESS STREET CHURCH SNAPSHOTS OF 1935.,,[Place of production not identified]  : ,1935,['(14.27 mins) : '],"Director, [filmed by Revd. George Allan].",Leisure and Recreation -- Religion -- Ships and Shipping -- Sporting Activities -- Tourism and Travel -- Argyllshire -- Glasgow -- amateur,"Record of events relating to Princess Street Church of Port Glasgow, including an outing on the ""Waverley"" paddle steamer, a Sunday School picnic to Kirn, and a Boy Scout's camp at Kilchattan Bay.","silent, black and white",http://movingimage.nls.uk/film/1801
PRINCESS STREET CHURCH SNAPSHOTS OF 1939.,,[Place of production not identified]  : ,1939,['(12.14 mins) : '],"Director, [filmed by Revd. George Allan].",Ceremonies -- Leisure and Recreation -- Religion -- Sporting Activities -- Tourism and Travel -- Argyllshire -- Glasgow -- amateur,"Snapshots of Princess Street Church events including a Sunday School picnic to Kilmun, a sports day, a cricket match and a wedding. ","silent, black and white",http://movingimage.nls.uk/film/1802
IN THE LAND OF LORNE.,,[Place of production not identified]  : ,1936,['(7.00 mins) : '],"Director, [filmed by Revd. George Allan].",Fish and Fishing -- Religion -- Inner Hebrides -- amateur -- home movies and videos,"A family holiday in Argyll, and a boat trip to Staffa and Iona. ","silent, black and white",http://movingimage.nls.uk/film/1804
FENWICK EVENTS OF 1933.,,[Place of production not identified]  : ,1933,['(10 mins) : '],"Director, [filmed by Revd. George Allan].",Leisure and Recreation -- Sporting Activities -- Ayrshire -- amateur,"Compilation of Fenwick events of 1933 including the Film Society at work, a choir trip at Kilmarnock, a Sunday School trip and Boy Scouts at camp. ","silent, black and white",http://movingimage.nls.uk/film/1805
FENWICK EVENTS OF 1934.,,[Place of production not identified]  : ,1934,['(15.32 mins) : '],"Director, [filmed by Revd. George Allan].",Ayrshire -- Lanarkshire -- amateur,"Fenwick events associated with the local church including a Bible Class excursion, a Sunday School picnic at Bruntland Bridge and Boy Scouts on holiday in West Kilbride.  ","silent, black and white",http://movingimage.nls.uk/film/1807
ART AND MOVEMENT.,Campbell Harper Productions,[Place of production not identified]  : ,1965,['(9.34 mins) : '],"Producer, Campbell Harper Films Ltd..","Art and Artists, general   -- Arts and Crafts -- Edinburgh -- educational","A film tracing the introduction of movement as a factor in 20th century art.  It records various ways in which artists have tackled this development such as Gabo, Calder and Soto. ","sound, colour",http://movingimage.nls.uk/film/1809
CENTRAL SCOTLAND.,,[Place of production not identified]  : ,1962,['(19.59 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios Ltd..","Buses and Coaches, general -- Carriages -- Children and Infants -- Construction and Engineering -- Food and Drink -- Forth River -- Ships and Shipping -- Transport -- Ayrshire -- Dunbartonshire -- Dundee -- Edinburgh -- Fife -- Forth River -- Lanarkshire -- Perth -- Renfrewshire -- documentary -- sponsored -- educational -- industrial","A regional geography film covering the area bounded by lines from Stonehaven to Helensburgh and Girvan to Dunbar.  It looks at various industries in this central belt - steel, engineering, shipbuilding, thread and textiles, coal, electricity, oil, plastic","sound, colour",http://movingimage.nls.uk/film/1810
"CLIMBERS, the.",,[Place of production not identified]  : ,1971,['(19.03 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios Ltd..","Art and Artists, general   -- Birds -- Camping -- Education -- Sporting Activities -- Tourism and Travel -- Highlands, the -- educational","An educational film for young people, explaining the skills necessary to gain experience in hill climbing.","sound, colour",http://movingimage.nls.uk/film/1811
CREEL FISHING IN SCOTLAND.,,[Place of production not identified]  : ,1960,['(22.37 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios.","Employment, Industry and Industrial Relations -- Fish and Fishing -- Fish Markets -- Fishing Boats -- Lobster Fishing -- Transport -- Aberdeen -- Berwickshire -- Borders -- Caithness -- Edinburgh -- Ross-shire  -- documentary -- educational",Various methods of creel fishing for lobsters and crabs around the coast of Scotland. ,"sound, colour",http://movingimage.nls.uk/film/1812
CLYDE VALLEY.,,[Place of production not identified]  : ,1972,['(15.50 mins) : '],"Producer, SEFA (Lanarkshire Group).",Agriculture -- Landscapes and Seascapes -- Lanarkshire -- educational,"The first part of a short series on the River Clyde, studying the geography, social distribution and industry from the source of the river to the outskirts of Glasgow.","sound, colour",http://movingimage.nls.uk/film/1813
DUNBAR - THE A1 RESORT.,Campbell Harper Productions,[Place of production not identified]  : ,1970,['(19.40 mins) : '],"Director, d. James Hickie ; Producer, Campbell Harper Films Ltd..",Camping -- Holiday Camps -- Leisure and Recreation -- Tourism and Travel -- East Lothian -- promotional,"A promotional film for the holiday resort of Dunbar it shows holiday-makers arriving by train, visitors exploring the harbour and castle, amusements and sports available and nearby Tantallon Castle.","sound, colour",http://movingimage.nls.uk/film/1815
"LAUNCH OF MR. WILKIE'S GOOD SHIP ""DORRIMEE"", the.",,[Place of production not identified]  : ,1933,['(3.42 mins) : '],"Director, filmed by Zest Film Company.",Leisure and Recreation -- amateur,"The launch of a family yacht the ""Dorrimee"". ","silent, black and white",http://movingimage.nls.uk/film/1817
FIFTEEN TO SIXTEEN.,Campbell Harper Productions,[Place of production not identified]  : ,1972,['(16.54 mins) : '],"Producer, Campbell Harper Films Ltd..",Canoeing -- Education -- Sporting Activities -- educational,"A look at the work both practical and recreational, undertaken during the extra year at school to hold the interest of pupils, with the emphasis on individual pursuits. ","sound, colour",http://movingimage.nls.uk/film/1818
FORTH - POWERHOUSE FOR INDUSTRY.,"HARPER, Alan James",[Place of production not identified]  : ,1968,['(20.36 mins) : '],"Director, d. Henry Cooper ; Producer, Campbell Harper Films Ltd..","Agriculture -- Carriages -- Employment, Industry and Industrial Relations -- Forth River -- Highland Games -- Transport -- East Lothian -- Edinburgh -- Fife -- Forth River -- Stirlingshire -- West Lothian -- sponsored -- educational","A look at the development of sources of power, the industries, and new towns along the borders of the River Forth.  ","sound, black and white/colour",http://movingimage.nls.uk/film/1820
INTRODUCING MAMMALS.,,[Place of production not identified]  : ,1964,['(11.00 mins) : '],"Producer, Park Film Studios.",Animals -- educational,"Introduction to four of the smaller mammals of Britain, the field vole and bank vole, the shrew and woodmouse.  The animals are shown in their natural habitat and the dangers to which they are exposed are highlighted.","sound, colour",http://movingimage.nls.uk/film/1822
MACDIARMID.,,[Place of production not identified]  : ,1969,['(16 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios.","Art and Artists, general   -- Arts and Crafts -- Education -- Borders -- educational","An interview with the poet Hugh MacDiarmid about his life and work.  Discussion centres around such themes as his 'Scottish' experience, childhood and family, tradition, art and science, his desire to look 'outward' and language and meaning, especially wi","sound, colour",http://movingimage.nls.uk/film/1823
TOWARDS NEW HORIZONS.,,[Place of production not identified]  : ,1960,['(21 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios.","Art and Artists, general   -- Birds -- Canoeing -- Education -- Ships and Shipping -- Sporting Activities -- Ayrshire -- Borders -- Perth -- Shetland Islands -- Stirlingshire -- sponsored -- educational",A demonstration of how outdoor activities are educationally important as an aid to lessons and the well-being of the pupil. ,"sound, colour",http://movingimage.nls.uk/film/1824
"NEW SCOTLAND, the.",,[Place of production not identified]  : ,1964,['(20 mins) : '],"Producer, Thames and Clyde.","Agriculture -- Construction and Engineering -- Employment, Industry and Industrial Relations -- Forth River -- Ships and Shipping -- Transport -- Aberdeen -- Argyllshire -- Edinburgh -- Forth River -- Glasgow -- Lanarkshire -- Renfrewshire -- Stirlingshire -- West Lothian -- educational","Following the 1964 economic survey of Scotland, the demolition of old property and the construction of new towns and new industries.","sound, colour",http://movingimage.nls.uk/film/1825
NEW TOWNS.,,[Place of production not identified]  : ,1969,"['(22 mins, c) : ']","Producer, Park Film Studios.","Architecture and Buildings -- Art and Artists, general   -- Children and Infants -- Employment, Industry and Industrial Relations -- Forth River -- Housing and Living Conditions -- Local Government -- Fife -- Forth River -- Glasgow -- Lanarkshire -- West Lothian -- educational","A study of the new towns of East Kilbride, Glenrothes, Cumbernauld and Livingston.  Considers how each new town has developed and grown in its own way.  Aspects of housing, architecture, communications, industry, leisure, education, environmental consider","sound, colour",http://movingimage.nls.uk/film/1826
RED DEER.,,[Place of production not identified]  : ,1971,"['(17 mins, c) : ']","Director, filmed by David Stephen and Douglas Gray ; Producer, Park Film Studios.",Animals -- Birds -- Sporting Activities -- Tourism and Travel -- educational,A study of the red deer in its natural habitat.  The control and preservation of the species are also looked at.  Includes footage of rutting and newborn calves.,"sound, colour",http://movingimage.nls.uk/film/1827
[OPENING OF GLASGOW EMPIRE EXHIBITION 1938].,,[Place of production not identified]  : ,1938,['(4.10 mins) : '],"Director, [filmed by John A. Wilkie].",Royalty -- Glasgow -- amateur,"Footage of the opening of the Glasgow Empire Exhibition at Bellahouston Park with shots of the royal procession, the royal party meeting guests, visitors inside a refreshment tent and horse riding.","silent, colour",http://movingimage.nls.uk/film/1829
SEABIRDS IN SCOTLAND.,,[Place of production not identified]  : ,1974,['(20 mins) : '],"Director, filmed by C.E. Palmar.",Birds -- Forth River -- Berwickshire -- Forth River -- educational,"A look at nine different species of cliff-breeding seabirds resident in Scotland.  Features the gannet, cormorant, shag, guillemot, razorbill and puffin, black guillemot, fulmar and kittiwake in locations such as Ailsa Craig, Bass Rock and St. Abb's Head.","sound, colour",http://movingimage.nls.uk/film/1830
SIR WILLIAM BRUCE: Architect.,,[Place of production not identified]  : ,1971,['(14.33 mins) : '],"Director, d. Douglas Gray ; Producer, Park Film Studios Ltd..","Architecture and Buildings -- Art and Artists, general   -- Arts and Crafts -- Edinburgh -- Fife -- Perth -- Stirling -- West Lothian -- educational","An overview of the life and major works of 17th century Scottish architect, William Bruce.","sound, colour",http://movingimage.nls.uk/film/1832
(WILKIE FAMILY COLLECTION).,,[Place of production not identified]  : ,1933,['(109.30 mins) : '],"Director, [filmed by John A. Wilkie].",Leisure and Recreation -- amateur,"A compilation of family films including trips on board the family yacht, at the Cowal highland games and on a Mediterranean cruise.","silent, black and white/colour",http://movingimage.nls.uk/film/1833
[BARNARDO'S CHILDREN'S PARTY].,,[Place of production not identified]  : ,1946,['(4.04 mins) : '],"Director, [filmed by John A. Wilkie].",Leisure and Recreation -- amateur,Barnardo's children playing and eating ice-cream at a party.,"silent, black and white/colour",http://movingimage.nls.uk/film/1834
"PATHE SUPER SOUND GAZETTE No 35/68, HIS MAJESTY IN SCOTLAND.",,[Place of production not identified]  : ,1935,['(1.00 min) : '],"Producer, Pathe Gazette.","Military, the -- Aberdeenshire -- newsreel",King George V arrives at Ballater station and inspects the guard of honour of the Black Watch. ,"sound, black and white",http://movingimage.nls.uk/film/1836
"(TAKING CHARGE OF THE KEYS, MAY 1936).",,[Place of production not identified]  : ,1936,['(1 min.) : '],,"Ceremonies -- Military, the -- Edinburgh -- newsreel","Shots of the 2nd Battalion Black Watch as they escort the ""Keys"" of Edinburgh Castle through the streets of Edinburgh [incomplete].","sound, black and white",http://movingimage.nls.uk/film/1837
ROYAL VISIT [TO RAF LEUCHARS].,,[Place of production not identified]  : ,1957,['(12.09 mins) : '],"Producer, PRB Film Unit, Air Ministry, London.","Aircraft see also Helicopters -- Birds -- Military, the -- Fife",Visit by Queen Elizabeth and Prince Philip to Royal Air Force Leuchars.  It includes a display of air aerobatics and an address by the Queen.  ,"sound, colour",http://movingimage.nls.uk/film/1839
"WORLD OUTSIDE, the (extract only).",,[Place of production not identified]  : ,1968,['(5.31 mins) : '],,,Shows first part of a film intended for the in-service training of school teachers in biology and geography field studies.,"sound, colour",http://movingimage.nls.uk/film/1846
"WATER SHREW, RATS AND VOLES.",,[Place of production not identified]  : ,1966,"['(11 mins, c) : ']","Producer, Park Film Studios.",Animals -- Rodents -- Water and Waterways -- educational,"A study of the water shrew, rat and water vole in their natural habitat.","sound, colour",http://movingimage.nls.uk/film/1847
"RED SQUIRREL, the.",,[Place of production not identified]  : ,1961,['(6.19 mins) : '],"Producer, Park Film Studios Ltd..",Animals -- Environment -- Rodents -- Spring -- educational,"A study through the different seasons, of the red squirrel in its natural habitat. ","sound, colour",http://movingimage.nls.uk/film/1848
LOCH LOMOND NATURE RESERVE.,,[Place of production not identified]  : ,1970,['(18.13 mins) : '],"Director, filmed by C.E. Palmar ; Producer, Park Film Studios.",Birds -- Children and Infants -- Environment -- Landscapes and Seascapes -- Dunbartonshire -- Glasgow -- educational,"A study of the Loch Lomond Nature Reserve, set up in 1962. ","sound, colour",http://movingimage.nls.uk/film/1849
FISHING FOR FUN.,,[Place of production not identified]  : ,1964,"['(10 mins, c) : ']",Credits: The Scottish Council for Physical Recreation present ph. Bill Emslie with David Webster .,Fish and Fishing -- Sporting Activities -- sponsored -- educational,"Deals in lighthearted manner with river and loch angling in Scotland.  Shows British and European casting champion, Peter Anderson, fishing in River Endrick.  Fishing on Dee, Spey and Loch Lomond and sea fishing near Lamlash, Arran, are shown.","sound, colour",http://movingimage.nls.uk/film/1851
"FOXES, the.",,[Place of production not identified]  : ,1967,"['(22 mins, c) : ']","Producer, Park Film Studios.",Animals -- Education -- educational,"A study of the fox, showing the adult animals and the development of cubs from four weeks to the break-up of the family unit.","sound, colour",http://movingimage.nls.uk/film/1852
(PROVOST FLETT COLLECTION).,,[Place of production not identified]  : ,1956,['(60.00 mins) : '],"Director, [filmed by Provost James Flett and friend].","Agriculture -- Architecture and Buildings -- Celebrations, Traditions and Customs -- Ceremonies -- Landscapes and Seascapes -- Leisure and Recreation -- Local Government -- Military, the -- Sporting Activities -- Orkney Islands -- amateur","Various events in Kirkwall in the Orkney Islands including an Agricultural Show; the unveiling ceremony of the war memorial, Kirkwall; the Queen Mother's visit to the islands in 1956; the Orkney Festival of Britain, 1951 and the opening of the power stati","silent, black and white/colour",http://movingimage.nls.uk/film/1854
"PATHE NEWS No 50/104, REVIEW OF THE YEAR .",,[Place of production not identified]  : ,1950,['(10 mins) : '],"Producer, Pathe News.","Ceremonies -- Media, Communication and the Creative Industries -- Politics -- newsreel","A compilation of news events including the election of the Labour government, the wedding of Moira Shearer, the Knockshinnoch mine disaster, riots in Belgium and footage of the Korean war.","sound, black and white",http://movingimage.nls.uk/film/1855
(DIXINE MISCELLANY).,,[Place of production not identified]  : ,1936,['(13.55 mins) : '],Credits: [Possibly a Dixine Film].,"Animals -- Celebrations, Traditions and Customs -- Military, the -- Angus -- Fife -- Glasgow -- amateur","Amateur footage of a compilation of news events and family occasions including shots of Culross in Fife; Scouts and Brownies on parade in Glasgow, the family building a bonfire, a display by the Japanese amateur judo team in Glasgow and a firework display","silent, black and white",http://movingimage.nls.uk/film/1856
HOSPITALS FOR ALL.,,[Place of production not identified]  : ,1948,['(21.45 mins) : '],"Director, d. Hamilton Tait.",Healthcare -- Edinburgh -- Stirlingshire -- sponsored -- public information,"Made as a promotional film for the new nationalised health services, it looks at a number of hospitals throughout central Scotland including the Edinburgh Royal Infirmary, Ballochmyle, Strathcathro and Killearn Hospitals; their medical staff at work and t","sound, black and white",http://movingimage.nls.uk/film/1858
"RING, the.",,[Place of production not identified]  : ,1939,['(15.00 mins) : '],"Producer, .","Emotions, Attitudes and Behaviour -- Landscapes and Seascapes -- Leisure and Recreation -- Dumfriesshire -- amateur",A story about a young man who leaves Glasgow to work in Dumfries but ends up helping an escaped convict.,"silent, black and white",http://movingimage.nls.uk/film/1859
PROGRESS OF A DUNDEE JUTE MILL.,,[Place of production not identified]  : ,1950,['(11.20 mins) : '],"Director, filmed by J.R.L. Halley, Director, Wm. Halley & Sons.","Art and Artists, general   -- Arts and Crafts -- Cafeterias and Canteens -- Employment, Industry and Industrial Relations -- Transport -- Dundee -- promotional","An illustration of  the historical development of William Halley & Sons Limited, jute manufacturers. ","silent, black and white",http://movingimage.nls.uk/film/1860
SHOTTS FARMERS' ANNUAL BALL 1951.,,[Place of production not identified]  : ,1951,['(3.02 mins) : '],"Producer, Thames and Clyde Production.",Agriculture -- Leisure and Recreation -- Lanarkshire -- local topical,"Dancing at the Shotts Farmers' Annual Ball, 2nd February 1951. ","silent, black and white",http://movingimage.nls.uk/film/1861
"HERIOT WATT COLLEGE, EDINBURGH.","HARPER, Alan James",[Place of production not identified]  : ,1938,['(37.32 mins) : '],"Director, d. Alan Harper ; Producer, Campbell Harper Films Ltd..",Construction and Engineering -- Education -- Edinburgh -- promotional,"A guide to facilities showing students learning diverse techniques at Heriot Watt College, in its Chambers Street buildings, Edinburgh.  Subjects include Pharmacy, Optics, Mine Rescue and Engineering. ","silent, black and white",http://movingimage.nls.uk/film/1862
SCHOOL WITHOUT WALLS.,,[Place of production not identified]  : ,1973,['(11.40 mins) : '],"Director, d. Peter Coltman ; Producer, Universities of Glasgow and Strathclyde.","Education -- Employment, Industry and Industrial Relations -- Housing and Living Conditions","Shots of the interior and exteriors of classrooms, shops, factories, playgrounds, houses and hospitals during the ""School Without Walls"" experiment, where 15 year olds worked in a variety of jobs for a few days at a time.","sound, colour",http://movingimage.nls.uk/film/1863
SPRINGHILL PRIMARY SCHOOL.,,[Place of production not identified]  : ,1969,['(17.13 mins) : '],"Director, filmed by Falconer Houston.","Art and Artists, general   -- Arts and Crafts -- Birds -- Children and Infants -- Education -- Science and Technology -- Renfrewshire -- educational","Filmed during a working day at Springhill primary school, Barrhead, Renfrewshire, it shows the children taking part in various activities and lessons.  ","sound, colour",http://movingimage.nls.uk/film/1864
"BANK FOR SCOTLAND, a.",,[Place of production not identified]  : ,1971,['(17.53 mins) : '],"Director, d. Ian Brock ; Producer, Grange Film Productions.","Agriculture -- Employment, Industry and Industrial Relations -- Berwickshire -- Dumfriesshire -- Edinburgh -- Shetland Islands -- promotional","Made to promote the Bank of Scotland, the film uses Scotland's history and its industries as a backdrop to the Bank's role within the country. ","sound, colour",http://movingimage.nls.uk/film/1868
BUSINESSWISE.,,[Place of production not identified]  : ,1975,['(18.00 mins) : '],"Director, d. Ian Brock ; Producer, Grange Film Production.","Employment, Industry and Industrial Relations -- Edinburgh -- Glasgow -- promotional",Made to promote the importance of the Bank of Scotland to the business community. ,"sound, colour",http://movingimage.nls.uk/film/1869
MONEYWISE.,,[Place of production not identified]  : ,1974,['(11.09 mins) : '],"Director, d. Ian Brock ; Producer, Grange Film Production  .","Employment, Industry and Industrial Relations -- Media, Communication and the Creative Industries -- Edinburgh -- promotional",An illustration of the various Bank of Scotland customer services.  ,"sound, colour",http://movingimage.nls.uk/film/1870
DUMBARTON 1944 - 1946.,,[Place of production not identified]  : ,1946,['(15.00 mins) : '],"Director, [attributed to Ben H. Humble].",Cafeterias and Canteens -- War -- Dunbartonshire -- amateur,"Events in Dumbarton including the ""Norwegian Week"" festival and VE Day celebrations.","silent, colour",http://movingimage.nls.uk/film/1871
RURAL ROUND ABOUT.,,[Place of production not identified]  : ,1950,['(11.09 mins) : '],"Director, filmed by W.E. Richardson.","Celebrations, Traditions and Customs -- Kirkudbrightshire -- amateur","An amateur compilation of Kircudbrightshire events held in 1950: Dalry annual Grand Collie Dog Trials, a bowling match and the New Galloway Gala. ","silent, black and white",http://movingimage.nls.uk/film/1872
THORNHILL SHOW.,,[Place of production not identified]  : ,1950,['(15.50 mins) : '],"Director, filmed by W.E. Richardson.","Celebrations, Traditions and Customs -- Dumfriesshire -- amateur",The Thornhill agricultural show and Thornhill Gala Day in the Borders.  ,"silent, black and white",http://movingimage.nls.uk/film/1873
[FILM OF MONIAIVE 1950 - 1955].,,[Place of production not identified]  : ,1950,['(13.14 mins) : '],"Director, [filmed by W.E. Richardson].","Agriculture -- Celebrations, Traditions and Customs -- Dumfriesshire -- amateur","A children's parade, sheep dog trials, a local football match and a dinner dance in Moniaive, Dumfriesshire.","silent, black and white",http://movingimage.nls.uk/film/1874
CHILDREN'S EXCURSION 1952.,,[Place of production not identified]  : ,1952,['(8.07 mins) : '],"Director, [filmed by W.E. Richardson].",Leisure and Recreation -- Dumfriesshire -- amateur,"A children's excursion from the Borders to Edinburgh, visiting the Castle, the Zoo and the Forth Rail Bridge.  ","silent, colour",http://movingimage.nls.uk/film/1875
NEW GALLOWAY GALA WEEK.,,[Place of production not identified]  : ,1951,['(10.30 mins) : '],"Director, [filmed by W.E. Richardson].","Celebrations, Traditions and Customs -- Kirkudbrightshire -- amateur","Amateur footage of the Borders celebrations surrounding the New Galloway Gala Week, including a handicraft exhibition, a children's fancy dress parade, carnival floats and a Highland dancing display.  ","silent, black and white",http://movingimage.nls.uk/film/1876
MONIAIVE DOG TRIALS.,,[Place of production not identified]  : ,1951,['(6.24 mins) : '],"Director, [filmed by W.E. Richardson].","Agriculture -- Celebrations, Traditions and Customs -- Dumfriesshire -- amateur","Amateur footage of the Moniaive dog trials at the Thornhill Show, Dumfriesshire.  The show continues with the Tableau parade, floats illustrating scenes from the poetry of Robert Burns.","silent, black and white",http://movingimage.nls.uk/film/1877
VILLAGE VARIETIES.,,[Place of production not identified]  : ,1953,['(36.04 mins) : '],"Director, filmed by W.E. Richardson.",Landscapes and Seascapes -- Leisure and Recreation -- Sporting Activities -- Transport -- Dumfriesshire -- amateur,"A compilation of local events in the Borders town of Moniaive including school sports, Remembrance day, a Sunday school outing, sheep dog trials, a bowling competition and the show day parade. ","silent, black and white/colour",http://movingimage.nls.uk/film/1879
UPPER DEESIDE.,,[Place of production not identified]  : ,1949,['(10.58 mins) : '],"Director, filmed by Harry C. Hampton.","Art and Artists, general   -- Tourism and Travel -- Aberdeenshire -- promotional","The youth hostels and surrounding walking country of Upper Deeside taking in Lochanagar, Lairig Ghru, Braeriach and Aviemore.  ","silent, colour",http://movingimage.nls.uk/film/1880
RATAGAN / TORRIDON.,,[Place of production not identified]  : ,1955,['(12.01 mins) : '],"Director, filmed by Harry C. Hampton.","Ferries -- Tourism and Travel -- Highlands, the -- Inner Hebrides -- promotional","Youth hostellers are seen enjoying their accommodation at Ratagan Hostel and Inveralligin Hostel in the Highlands; they climb the Saddle, visit Dunvegan castle on Skye and watch a game of Highland shinty. ","silent, colour",http://movingimage.nls.uk/film/1881
WESTERN PERTHSHIRE.,,[Place of production not identified]  : ,1951,['(13.25 mins) : '],"Producer,  SEFA (Glasgow Group).",Tourism and Travel -- Argyllshire -- Perth -- educational,Various shots of youth hostellers and hillwalkers in the countryside by Killin.,"silent, colour",http://movingimage.nls.uk/film/1882
BORDER RAID.,,[Place of production not identified]  : ,1957,['(8.42 mins) : '],"Director, [filmed by A.C. Cromer, Edinburgh].","Buses and Coaches, general -- Leisure and Recreation -- Tourism and Travel -- Borders -- Roxburghshire   -- Selkirkshire -- promotional","A group of hostellers enjoying a tour of the Borders, visiting Melrose, Selkirk, Cauldshiels Loch, Mungo Park's birthplace, Newark Castle, and Broadmeadow and Snoot youth hostels.","silent, colour",http://movingimage.nls.uk/film/1884
